,nonlinearity,alpha,loss,entropy,test_spearman,test_pearson,test_mse
0,exponential,0.1,mse,2.1258688350291193,0.998,0.999,0.003
1,exponential,0.1,bradley_terry,2.1258688350291193,0.998,0.998,533.230
2,exponential,0.1,mse,2.424435154447106,1.000,1.000,0.000
3,exponential,0.1,bradley_terry,2.424435154447106,0.993,0.992,470.855
4,exponential,0.1,mse,2.432821565009295,0.999,1.000,0.002
5,exponential,0.1,bradley_terry,2.432821565009295,0.998,0.998,1344.155
6,exponential,0.1,mse,2.0296684108282323,0.998,0.998,0.003
7,exponential,0.1,bradley_terry,2.0296684108282323,0.999,0.999,1707.437
8,exponential,0.1,mse,2.1730081608336027,1.000,1.000,0.000
9,exponential,0.1,bradley_terry,2.1730081608336027,0.998,0.998,282.355
10,exponential,0.1,mse,1.9206738744651808,1.000,1.000,0.000
11,exponential,0.1,bradley_terry,1.9206738744651808,0.993,0.993,98.188
12,exponential,0.1,mse,1.8316485341927065,0.999,0.999,0.001
13,exponential,0.1,bradley_terry,1.8316485341927065,0.988,0.987,66.334
14,exponential,0.1,mse,2.0633937978530965,1.000,1.000,0.000
15,exponential,0.1,bradley_terry,2.0633937978530965,0.999,0.999,727.508
16,exponential,0.1,mse,2.29783734482483,1.000,1.000,0.001
17,exponential,0.1,bradley_terry,2.29783734482483,1.000,0.999,760.484
18,exponential,0.1,mse,2.2918995841189584,1.000,1.000,0.000
19,exponential,0.1,bradley_terry,2.2918995841189584,0.990,0.990,78.363
20,exponential,0.1,mse,2.093980000665655,1.000,1.000,0.001
21,exponential,0.1,bradley_terry,2.093980000665655,0.999,0.999,1022.986
22,exponential,0.1,mse,2.4327977293413667,1.000,1.000,0.000
23,exponential,0.1,bradley_terry,2.4327977293413667,0.999,0.999,421.534
24,exponential,0.1,mse,2.3933390926222593,1.000,1.000,0.001
25,exponential,0.1,bradley_terry,2.3933390926222593,0.987,0.989,95.036
26,exponential,0.1,mse,2.4749082257547808,0.999,0.999,0.002
27,exponential,0.1,bradley_terry,2.4749082257547808,0.998,0.999,245.556
28,exponential,0.1,mse,2.414449699888198,0.999,0.999,0.001
29,exponential,0.1,bradley_terry,2.414449699888198,1.000,1.000,688.095
30,exponential,0.1,mse,2.1286750665830048,1.000,1.000,0.000
31,exponential,0.1,bradley_terry,2.1286750665830048,0.998,0.995,473.050
32,exponential,0.1,mse,2.198175422589359,0.999,0.999,0.002
33,exponential,0.1,bradley_terry,2.198175422589359,1.000,0.999,778.748
34,exponential,0.1,mse,2.4719993739307906,0.999,0.999,0.002
35,exponential,0.1,bradley_terry,2.4719993739307906,0.997,0.996,1749.714
36,exponential,0.1,mse,2.417052639117139,1.000,1.000,0.000
37,exponential,0.1,bradley_terry,2.417052639117139,1.000,1.000,566.490
38,exponential,0.1,mse,2.530886522141329,1.000,1.000,0.000
39,exponential,0.1,bradley_terry,2.530886522141329,0.998,0.998,390.407
40,exponential,0.1,mse,2.2351330541640544,1.000,0.999,0.001
41,exponential,0.1,bradley_terry,2.2351330541640544,0.999,0.998,675.615
42,exponential,0.1,mse,2.1734717118095808,0.999,0.999,0.001
43,exponential,0.1,bradley_terry,2.1734717118095808,0.997,0.997,185.353
44,exponential,0.1,mse,2.1166863865072645,0.999,0.999,0.002
45,exponential,0.1,bradley_terry,2.1166863865072645,0.998,0.998,306.139
