,nonlinearity,alpha,loss,entropy,test_spearman,test_pearson,test_mse
0,exponential,0.1,mse,1.581568525098005,1.000,1.000,0.000
1,exponential,0.1,bradley_terry,1.581568525098005,1.000,1.000,1252.745
2,exponential,0.1,mse,1.017237560607913,1.000,1.000,0.000
3,exponential,0.1,bradley_terry,1.017237560607913,1.000,1.000,353.018
4,exponential,0.1,mse,1.5793785712268082,1.000,1.000,0.000
5,exponential,0.1,bradley_terry,1.5793785712268082,1.000,1.000,696.871
6,exponential,0.1,mse,1.6072539639919632,1.000,1.000,0.000
7,exponential,0.1,bradley_terry,1.6072539639919632,1.000,0.999,267.319
8,exponential,0.1,mse,1.5841866150748358,1.000,1.000,0.000
9,exponential,0.1,bradley_terry,1.5841866150748358,1.000,0.999,330.473
10,exponential,0.1,mse,1.7987304947481424,1.000,1.000,0.000
11,exponential,0.1,bradley_terry,1.7987304947481424,1.000,0.999,748.442
12,exponential,0.1,mse,1.8224059153352474,1.000,1.000,0.000
13,exponential,0.1,bradley_terry,1.8224059153352474,1.000,0.998,668.081
14,exponential,0.1,mse,1.6515206421368338,1.000,1.000,0.000
15,exponential,0.1,bradley_terry,1.6515206421368338,1.000,0.999,887.298
16,exponential,0.1,mse,1.8002693876086229,1.000,1.000,0.000
17,exponential,0.1,bradley_terry,1.8002693876086229,1.000,0.999,1579.644
18,exponential,0.1,mse,1.6127190387886678,1.000,1.000,0.000
19,exponential,0.1,bradley_terry,1.6127190387886678,1.000,0.999,270.020
20,exponential,0.1,mse,1.7902196888395714,1.000,1.000,0.000
21,exponential,0.1,bradley_terry,1.7902196888395714,1.000,0.998,626.686
22,exponential,0.1,mse,1.696851964010661,1.000,1.000,0.000
23,exponential,0.1,bradley_terry,1.696851964010661,1.000,0.999,279.932
