,train_size,loss,test_spearman,test_pearson,test_mse
0,25,mse,0.693,0.415,0.843
1,25,bradley_terry,0.672,0.326,1.758
2,25,mse,0.441,0.217,1.001
3,25,bradley_terry,0.602,0.348,0.979
4,25,mse,0.372,0.081,1.063
5,25,bradley_terry,0.737,0.298,723.376
6,25,mse,0.711,0.385,0.988
7,25,bradley_terry,0.724,0.307,1.256
8,25,mse,0.630,0.300,0.999
9,25,bradley_terry,0.802,0.324,2.854
10,25,mse,0.133,0.148,0.998
11,25,bradley_terry,0.554,0.183,0.990
12,25,mse,0.585,0.359,0.877
13,25,bradley_terry,0.719,0.338,1.716
14,25,mse,0.543,0.388,0.961
15,25,bradley_terry,0.694,0.362,0.983
16,25,mse,0.556,0.234,0.993
17,25,bradley_terry,0.651,0.285,0.965
18,25,mse,0.505,0.202,0.980
19,25,bradley_terry,0.632,0.222,1.009
20,25,mse,0.207,0.116,0.996
21,25,bradley_terry,0.320,0.179,1.022
22,25,mse,0.407,0.217,1.017
23,25,bradley_terry,0.795,0.367,5.707
24,25,mse,0.616,0.342,0.986
25,25,bradley_terry,0.572,0.248,0.996
26,25,mse,0.558,0.306,0.928
27,25,bradley_terry,0.496,0.184,1.033
28,25,mse,0.598,0.234,1.009
29,25,bradley_terry,0.567,0.266,0.954
30,25,mse,0.366,0.204,0.967
31,25,bradley_terry,0.704,0.277,0.984
32,25,mse,0.418,0.313,1.032
33,25,bradley_terry,0.760,0.356,2.213
34,25,mse,0.682,0.457,0.953
35,25,bradley_terry,0.689,0.274,0.984
36,25,mse,0.238,-0.024,1.026
37,25,bradley_terry,0.645,0.251,0.981
38,25,mse,0.541,0.322,1.085
39,25,bradley_terry,0.750,0.397,0.915
40,25,mse,0.489,0.134,0.999
41,25,bradley_terry,0.746,0.288,29.460
42,25,mse,0.616,0.281,0.979
43,25,bradley_terry,0.734,0.290,1.234
44,25,mse,0.712,0.284,0.998
45,25,bradley_terry,0.272,0.019,1.376
46,25,mse,0.517,0.340,0.987
47,25,bradley_terry,0.504,0.246,0.946
48,25,mse,0.604,0.363,0.992
49,25,bradley_terry,0.707,0.385,1.050
50,25,mse,0.532,0.219,0.975
51,25,bradley_terry,0.710,0.327,0.983
52,25,mse,0.393,0.084,1.033
53,25,bradley_terry,0.603,0.208,0.990
54,25,mse,0.338,0.200,0.984
55,25,bradley_terry,0.596,0.308,0.980
56,25,mse,0.585,0.307,0.946
57,25,bradley_terry,0.799,0.304,3.277
58,25,mse,0.337,0.192,0.998
59,25,bradley_terry,0.345,0.183,1.173
60,25,mse,0.252,0.248,0.954
61,25,bradley_terry,0.796,0.352,4.583
62,25,mse,0.615,0.275,0.989
63,25,bradley_terry,0.727,0.304,3.946
64,25,mse,0.331,0.236,1.050
65,25,bradley_terry,0.449,0.155,1.021
66,25,mse,0.249,0.097,1.061
67,25,bradley_terry,0.779,0.365,1.915
68,25,mse,0.530,0.232,1.071
69,25,bradley_terry,0.760,0.369,0.981
